2019-11-13 14:03:20.149[main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8100 (http)
2019-11-13 14:03:20.182[main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8100"]
2019-11-13 14:03:20.191[main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-11-13 14:03:20.191[main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.19]
2019-11-13 14:03:20.308[main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-11-13 14:03:20.308[main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1830 ms
2019-11-13 14:03:20.513[main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2019-11-13 14:03:20.712[main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2019-11-13 14:03:20.768[main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2019-11-13 14:03:20.852[main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.4.4.Final}
2019-11-13 14:03:21.032[main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2019-11-13 14:03:21.197[main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2019-11-13 14:03:22.045[main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2019-11-13 14:03:22.048[main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2019-11-13 14:03:22.787[main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'taskExecutor'
2019-11-13 14:03:22.835[main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
2019-11-13 14:03:22.841[main] INFO  com.hoggen.testFrame.config.swagger.SwaggerConfig - Starting Swagger
2019-11-13 14:03:22.848[main] INFO  com.hoggen.testFrame.config.swagger.SwaggerConfig - Started Swagger in 7 ms
2019-11-13 14:03:23.216[main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2019-11-13 14:03:23.267[main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
