2019-11-23 12:59:56.463[restartedMain] DEBUG com.hoggen.COMangerment.CoMangermentApplication - Running with Spring Boot v2.1.6.RELEASE, Spring v5.1.8.RELEASE
2019-11-23 13:05:34.857[restartedMain] DEBUG com.hoggen.COMangerment.CoMangermentApplication - Running with Spring Boot v2.1.6.RELEASE, Spring v5.1.8.RELEASE
2019-11-23 13:05:49.982[restartedMain] DEBUG com.hoggen.COMangerment.CoMangermentApplication - Running with Spring Boot v2.1.6.RELEASE, Spring v5.1.8.RELEASE
2019-11-23 13:06:29.765[restartedMain] DEBUG com.hoggen.COMangerment.CoMangermentApplication - Running with Spring Boot v2.1.6.RELEASE, Spring v5.1.8.RELEASE
2019-11-23 13:08:48.123[restartedMain] DEBUG com.hoggen.COMangerment.CoMangermentApplication - Running with Spring Boot v2.1.6.RELEASE, Spring v5.1.8.RELEASE
2019-11-25 09:10:40.146[restartedMain] DEBUG com.hoggen.COMangerment.CoMangermentApplication - Running with Spring Boot v2.1.6.RELEASE, Spring v5.1.8.RELEASE
2019-11-25 09:13:13.076[restartedMain] DEBUG com.hoggen.COMangerment.CoMangermentApplication - Running with Spring Boot v2.1.6.RELEASE, Spring v5.1.8.RELEASE
2019-11-25 09:17:41.713[restartedMain] DEBUG com.hoggen.COMangerment.CoMangermentApplication - Running with Spring Boot v2.1.6.RELEASE, Spring v5.1.8.RELEASE
2019-11-30 16:45:42.412[restartedMain] DEBUG com.hoggen.COMangerment.CoMangermentApplication - Running with Spring Boot v2.1.6.RELEASE, Spring v5.1.8.RELEASE
